Quantity,Designators,Package,Value,MPN,Manufacturer
5,"C1, C2, C4, C13, C19",CAPC1005 (0402),100nF,,
3,"C3, C17, C18",CAPC1005 (0402),1μF,,
1,C5,CAPC1005 (0402),10μF,,
6,"C6, C7, C8, C9, C12, C20",CAPC2012 (0805),10μF,,
2,"C10, C11",CAPC1608 (0603),100nF,,
1,C14,CAPC1005 (0402),1nF,,
1,J1,Pin Header 2.54mm 1x04 ⌀1.0mm,,,
4,"J2, J3, J4, J5",JST_B2B-XH-A,,,
1,L1,TYS8040,10μH,TYS8040100M-10,Laird Technologies
1,L2,SPN3030,4.7uH,,
1,LED1,LED 0402,RED,,
1,LED2,LED 0402,,,
1,Q1,SOT23-3P95_230X110L50X40,,BC817-25-7-F,Diodes Incorporated
1,R1,RESC1005 (0402),20Ω,,
4,"R2, R3, R7, R11",RESC1005 (0402),10kΩ,,
1,R4,RESC1005 (0402),4.87kΩ,,
1,R5,RESC1005 (0402),8.2kΩ,,
1,R6,RESC1005 (0402),23.2kΩ,,
3,"R8, R12, R13",RESC1005 (0402),1kΩ,,
1,R9,RESC1005 (0402),120kΩ,,
1,R10,RESC1005 (0402),15kΩ,,
1,R14,RESC1005 (0402),2.7kΩ,,
1,R15,RESC1005 (0402),1.2kΩ,,
1,U1,QFN-19,,,
1,U2,TSSOP20P65_650X640X120L100X30,STM32G030F6Px,,
1,U4,SOT23-6P95_280X145L60X40,,LMR50410XFDBVR,TI
